[2014-07-29 11:54:16] {'PlayerId':640002386,'time':'1406606056','sceneId':'0'}
[2014-07-29 11:54:55] {'PlayerId':640002386,'time':'1406606095','sceneId':'0'}
[2014-07-29 11:55:28] {'PlayerId':640002386,'time':'1406606128','sceneId':'0'}
[2014-07-29 11:55:47] {'PlayerId':640002386,'time':'1406606147','sceneId':'0'}
[2014-07-29 11:56:29] {'PlayerId':640002386,'time':'1406606189','sceneId':'0'}
[2014-07-29 11:59:21] {'PlayerId':640002386,'time':'1406606361','sceneId':'0'}
[2014-07-29 11:59:51] {'PlayerId':640002386,'time':'1406606391','sceneId':'0'}
[2014-07-29 12:00:08] {'PlayerId':640002386,'time':'1406606408','sceneId':'0'}
[2014-07-29 12:00:27] {'PlayerId':640002386,'time':'1406606427','sceneId':'0'}
[2014-07-29 12:00:45] {'PlayerId':640002386,'time':'1406606445','sceneId':'0'}
[2014-07-29 12:01:09] {'PlayerId':640002386,'time':'1406606469','sceneId':'0'}
[2014-07-29 12:01:29] {'PlayerId':640002386,'time':'1406606489','sceneId':'0'}
[2014-07-29 12:01:58] {'PlayerId':640002386,'time':'1406606518','sceneId':'0'}
[2014-07-29 12:02:10] {'PlayerId':640002386,'time':'1406606530','sceneId':'0'}
[2014-07-29 12:02:28] {'PlayerId':640002386,'time':'1406606548','sceneId':'0'}
[2014-07-29 12:10:14] {'PlayerId':640003015,'time':'1406607014','sceneId':'0'}
[2014-07-29 12:10:22] {'PlayerId':640003015,'time':'1406607022','sceneId':'0'}
[2014-07-29 12:10:34] {'PlayerId':640003015,'time':'1406607034','sceneId':'0'}
[2014-07-29 12:10:46] {'PlayerId':640003015,'time':'1406607046','sceneId':'0'}
[2014-07-29 12:11:01] {'PlayerId':640003015,'time':'1406607061','sceneId':'0'}
[2014-07-29 12:11:19] {'PlayerId':640003015,'time':'1406607079','sceneId':'0'}
[2014-07-29 12:11:25] {'PlayerId':640003015,'time':'1406607085','sceneId':'0'}
[2014-07-29 12:11:38] {'PlayerId':640003015,'time':'1406607098','sceneId':'0'}
[2014-07-29 12:13:38] {'PlayerId':640002629,'time':'1406607218','sceneId':'0'}
[2014-07-29 12:14:12] {'PlayerId':640002400,'time':'1406607252','sceneId':'0'}
[2014-07-29 13:45:16] {'PlayerId':640002617,'time':'1406612716','sceneId':'0'}
[2014-07-29 13:47:04] {'PlayerId':640002617,'time':'1406612824','sceneId':'0'}
[2014-07-29 13:47:19] {'PlayerId':640002617,'time':'1406612839','sceneId':'0'}
[2014-07-29 13:48:02] {'PlayerId':640002617,'time':'1406612882','sceneId':'0'}
[2014-07-29 13:48:15] {'PlayerId':640002617,'time':'1406612895','sceneId':'0'}
[2014-07-29 13:48:30] {'PlayerId':640002617,'time':'1406612910','sceneId':'0'}
[2014-07-29 13:48:40] {'PlayerId':640002617,'time':'1406612920','sceneId':'0'}
[2014-07-29 13:50:11] {'PlayerId':640002617,'time':'1406613011','sceneId':'0'}
[2014-07-29 13:56:35] {'PlayerId':640002617,'time':'1406613395','sceneId':'0'}
[2014-07-29 13:57:32] {'PlayerId':640002400,'time':'1406613452','sceneId':'0'}
[2014-07-29 13:57:59] {'PlayerId':640002400,'time':'1406613479','sceneId':'0'}
[2014-07-29 13:59:04] {'PlayerId':640002665,'time':'1406613544','sceneId':'0'}
[2014-07-29 14:06:55] {'PlayerId':640003017,'time':'1406614015','sceneId':'0'}
[2014-07-29 14:09:18] {'PlayerId':640002617,'time':'1406614158','sceneId':'0'}
[2014-07-29 14:09:54] {'PlayerId':640003017,'time':'1406614194','sceneId':'0'}
[2014-07-29 14:11:28] {'PlayerId':640003017,'time':'1406614288','sceneId':'0'}
[2014-07-29 14:29:44] {'PlayerId':640002617,'time':'1406615384','sceneId':'0'}
[2014-07-29 14:32:37] {'PlayerId':640003017,'time':'1406615557','sceneId':'0'}
[2014-07-29 14:32:56] {'PlayerId':640002617,'time':'1406615576','sceneId':'0'}
[2014-07-29 14:33:35] {'PlayerId':640002617,'time':'1406615615','sceneId':'0'}
[2014-07-29 14:35:04] {'PlayerId':640002617,'time':'1406615704','sceneId':'0'}
[2014-07-29 14:35:19] {'PlayerId':640002617,'time':'1406615719','sceneId':'0'}
[2014-07-29 14:38:32] {'PlayerId':640002617,'time':'1406615912','sceneId':'0'}
[2014-07-29 14:38:58] {'PlayerId':640002617,'time':'1406615938','sceneId':'0'}
[2014-07-29 14:39:29] {'PlayerId':640002617,'time':'1406615969','sceneId':'0'}
[2014-07-29 14:42:23] {'PlayerId':640003018,'time':'1406616143','sceneId':'0'}
[2014-07-29 14:45:35] {'PlayerId':640003018,'time':'1406616335','sceneId':'0'}
[2014-07-29 14:52:01] {'PlayerId':640003020,'time':'1406616721','sceneId':'0'}
[2014-07-29 14:53:05] {'PlayerId':640003020,'time':'1406616785','sceneId':'0'}
[2014-07-29 15:00:07] {'PlayerId':640002973,'time':'1406617207','sceneId':'0'}
[2014-07-29 15:01:22] {'PlayerId':640003020,'time':'1406617282','sceneId':'0'}
[2014-07-29 15:09:50] {'PlayerId':640003020,'time':'1406617790','sceneId':'0'}
[2014-07-29 15:33:46] {'PlayerId':640003020,'time':'1406619226','sceneId':'0'}
[2014-07-29 15:46:13] {'PlayerId':640003020,'time':'1406619973','sceneId':'0'}
[2014-07-29 15:46:30] {'PlayerId':640003020,'time':'1406619990','sceneId':'0'}
[2014-07-29 15:46:46] {'PlayerId':640003020,'time':'1406620006','sceneId':'0'}
[2014-07-29 15:47:06] {'PlayerId':640003020,'time':'1406620026','sceneId':'0'}
[2014-07-29 15:47:29] {'PlayerId':640003020,'time':'1406620049','sceneId':'0'}
[2014-07-29 15:48:00] {'PlayerId':640003020,'time':'1406620080','sceneId':'0'}
[2014-07-29 15:48:06] {'PlayerId':640003020,'time':'1406620086','sceneId':'0'}
[2014-07-29 15:49:10] {'PlayerId':640003020,'time':'1406620150','sceneId':'0'}
[2014-07-29 16:01:27] {'PlayerId':640002973,'time':'1406620887','sceneId':'0'}
[2014-07-29 16:07:16] {'PlayerId':640002386,'time':'1406621236','sceneId':'0'}
[2014-07-29 16:16:07] {'PlayerId':640002550,'time':'1406621767','sceneId':'0'}
